SITUACION LABORAL,RANGO,SEXO,EDAD,DEPARTAMENTO,PROVINCIA,DISTRITO,PROFESION,MARCA,MODELO,PLAZA,COLOR,CARROCERIA,ASIENTOS,USO
DEPENDIENTE,B,MASCULINO,32,LIMA,LIMA,BREÑA,BACHILLER EN ADMINISTRACION,SUZUKI,GSX125,LIMA,AZUL,MOTOCICLETA,2,PARTICULAR
DEPENDIENTE,C,FEMENINO,20,JUNIN,HUANCAYO,HUANCAYO,BACHILLER EN ADMINISTRACION,HYUNDAI,VERNA,LIMA,BLANCO,SEDAN,5,PARTICULAR
DEPENDIENTE,C,MASCULINO,24,LIMA,LIMA,LIMA,BACHILLER EN ADMINISTRACION,LEXUS,RX,LIMA,BLANCO METALICO,SUV,5,PARTICULAR
DEPENDIENTE,C,FEMENINO,32,AREQUIPA,AREQUIPA,SACHACA,BACHILLER EN ADMINISTRACION,SUBARU,FORESTER,AREQUIPA,BLANCO CRISTAL PERLADO,SUV,,
DEPENDIENTE,A,FEMENINO,20,LIMA,LIMA,JESUS MARIA,BACHILLER EN ADMINISTRACION,HERO,HUNK 160R,LIMA,AZUL NEGRO,MOTOCICLETA,2,
DEPENDIENTE,C,FEMENINO,20,LIMA,LIMA,SANTA ANITA,BACHILLER EN ADMINISTRACION,FORD,ECOSPORT,LIMA,NEGRO,SUV,5,PARTICULAR
DEPENDIENTE,,FEMENINO,20,LIMA,LIMA,PACHACAMAC,BACHILLER EN ADMINISTRACION,TOYOTA,YARIS,LIMA,GRIS OSCURO METALICO,SEDAN,5,
DEPENDIENTE,A,FEMENINO,20,LIMA,LIMA,JESUS MARIA,BACHILLER EN ADMINISTRACION,SUZUKI,SWIFT,LIMA,ROJO,HATCHBACK,,PARTICULAR
DEPENDIENTE,B,MASCULINO,25,CUSCO,CUSCO,POROY,BACHILLER EN ADMINISTRACION,SUZUKI,GRAND VITARA,LIMA,BEIGE,SUV,,PARTICULAR
DEPENDIENTE,B,MASCULINO,20,ICA,ICA,ICA,BACHILLER EN ADMINISTRACION,NISSAN,SUNNY,ABANCAY,PLATA,SEDAN,,PARTICULAR
DEPENDIENTE,C,FEMENINO,20,LIMA,LIMA,SAN JUAN DE LURIGANCHO,BACHILLER EN ADMINISTRACION,KIA,CERATO,LIMA,NEGRO,SEDAN,5,PARTICULAR
DEPENDIENTE,,MASCULINO,33,CUSCO,CUSCO,SANTIAGO,BACHILLER EN ADMINISTRACION,HONDA,XR 190L,MADRE DE DIOS,ROJO,MOTOCICLETA,,
DEPENDIENTE,B,MASCULINO,20,CAJAMARCA,CAJAMARCA,CAJAMARCA,BACHILLER EN ADMINISTRACION,KIA,RIO,CAJAMARCA,GRIS URBANO,SEDAN,5,
DEPENDIENTE,C,FEMENINO,20,LIMA,HUARAL,HUARAL,BACHILLER EN ADMINISTRACION,MITSUBISHI,ASX,LIMA,NEGRO,SUV,5,PARTICULAR
DEPENDIENTE,B,MASCULINO,23,LA LIBERTAD,TRUJILLO,TRUJILLO,BACHILLER EN ADMINISTRACION,ITALIKA,NEW RC150,TRUJILLO,NEGRO,MOTOCICLETA,2,
DEPENDIENTE,,FEMENINO,30,CUSCO,URUBAMBA,URUBAMBA,BACHILLER EN ADMINISTRACION,RENAULT,DUSTER,PUCALLPA,BLANCO GLACIAR,SUV,,PARTICULAR
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,JESUS MARIA,BACHILLER EN ADMINISTRACION,TOYOTA,YARIS,LIMA,NEGRO METALICO,SEDAN,5,PARTICULAR
DEPENDIENTE,C,FEMENINO,20,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,BACHILLER EN ADMINISTRACION,SUBARU,IMPREZA,LIMA,AZUL OSCURO PERLADO,SEDAN,5,PARTICULAR
DEPENDIENTE,A,FEMENINO,20,LIMA,LIMA,SANTIAGO DE SURCO,BACHILLER EN ADMINISTRACION,LAND ROVER,RANGE ROVER EVOQUE,LIMA,GRIS,SUV,5,
DEPENDIENTE,A,MASCULINO,20,LIMA,LIMA,SANTIAGO DE SURCO,BACHILLER EN ADMINISTRACION,SUBARU,FORESTER,LIMA,GRIS PLATA,SUV,5,
DEPENDIENTE,A,MASCULINO,32,LIMA,LIMA,SANTIAGO DE SURCO,BACHILLER EN ADMINISTRACION,SUBARU,FORESTER,LIMA,GRIS MAGNETO METALICO,SUV,5,PARTICULAR
DEPENDIENTE,A,MASCULINO,20,LIMA,LIMA,SURQUILLO,BACHILLER EN ADMINISTRACION,HAVAL,NEW H2,LIMA,PLATA,SUV,5,PARTICULAR
DEPENDIENTE,D,FEMENINO,20,LA LIBERTAD,TRUJILLO,HUANCHACO,BACHILLER EN ADMINISTRACION,SUBARU,IMPREZA,LIMA,ROJO BRILLANTE,SEDAN,,PARTICULAR
DEPENDIENTE,A,FEMENINO,20,LIMA,LIMA,PUENTE PIEDRA,BACHILLER EN ADMINISTRACION,MAZDA,MAZDA 3,LIMA,ROJO,SEDAN,,PARTICULAR
INDEPENDIENTE,,MASCULINO,30,LIMA,HUARAL,HUARAL,BACHILLER EN ADMINISTRACION,CUSO,CUSO-150,LIMA,ROJO,TRIMOTO PASAJEROS,,
INDEPENDIENTE,C,MASCULINO,33,JUNIN,HUANCAYO,CHILCA,BACHILLER EN ADMINISTRACION,VOLKSWAGEN,1500 KOMBI,HUANCAYO,CELESTE,MICROBUS,,
