SITUACION LABORAL,RANGO,SEXO,EDAD,DEPARTAMENTO,PROVINCIA,DISTRITO,PROFESION,MARCA,MODELO,PLAZA,COLOR,CARROCERIA,ASIENTOS,USO,COT
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SAN JUAN DE MIRAFLORES,BACHILLER EN CONTABILIDAD,HYUNDAI,i20,LIMA,PLATA,SUV,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,LOS OLIVOS,BACHILLER EN CONTABILIDAD,KIA,RIO,LIMA,PLATA BRILLANTE,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,LOS OLIVOS,BACHILLER EN CONTABILIDAD,HYUNDAI,i10,LIMA,AZUL,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,24,LA LIBERTAD,TRUJILLO,TRUJILLO,BACHILLER EN CONTABILIDAD,VOLKSWAGEN,111-021,LIMA,NEGRO,PICK UP,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,32,CALLAO,PROV. CONST. DEL CALLAO,LA PERLA,BACHILLER EN CONTABILIDAD Y ADMINISTRACION,SUBARU,XV,LIMA,GRIS PLATA,SUV,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,RIMAC,BACHILLER EN CONTABILIDAD Y AUDITORIA,MAZDA,MAZDA 3,LIMA,GRIS,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,50,LIMA,LIMA,SAN JUAN DE MIRAFLORES,BACHILLER EN CONTABILIDAD Y FINANZAS,CHEVROLET,N300,LIMA,PLATA TWINKLING,MULTIPROPOSITO,8,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,CHORRILLOS,BACHILLER EN CONTABILIDAD Y FINANZAS,CHEVROLET,PRISMA,LIMA,GRIS GUN,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SAN JUAN DE LURIGANCHO,BACHILLER EN CONTABILIDAD Y FINANZAS,NISSAN,WHL B11F,LIMA,ROJO CARMESI,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,BACHILLER EN CONTABILIDAD Y FINANZAS,RENAULT,KWID,LIMA,ROJO FUEGO,HATCHBACK,5,PARTICULAR,1
